movieInfo,title,star,quote
"
导演:马基德·马基迪MajidMajidi   主演:AmirFarrokhHashemian/默罕...
1999 / 伊朗 / 剧情家庭儿童


",小鞋子 / بچههای آسمان / 天堂的孩子  /  小童鞋,9.1,奔跑的孩子是天使。
"
导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra...
1994 / 美国 / 剧情犯罪


",低俗小说 / Pulp Fiction / 黑色追緝令(台)  /  危险人物(港),8.7,故事的高级讲法。
"
导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/...
2008 / 日本 / 剧情


",入殓师 / おくりびと / 礼仪师之奏鸣曲(港)  /  礼仪师(台),8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
"
导演:埃里克.布雷斯EricBress/J.MackyeGruber   主演:阿什顿·库彻A...
2004 / 美国加拿大 / 剧情悬疑科幻惊悚


",蝴蝶效应 / The Butterfly Effect / 蝴蝶效应,8.7,人的命运被自己瞬间的抉择改变。
"
导演:AdamElliot   主演:托妮·科莱特ToniCollette/菲利普·塞默·霍...
2009 / 澳大利亚 / 剧情爱情动画


",玛丽和马克思 / Mary and Max / 巧克力情缘  /  玛丽和麦克斯,8.9,你是我最好的朋友，你是我唯一的朋友 。
"
导演:JonathanDemme   主演:JodieFoster/AnthonyHopkins/ScottGlenn
1991 / 美国 / 剧情犯罪惊悚


",沉默的羔羊 / The Silence of the Lambs / 沉默的羔羊,8.7,安东尼·霍普金斯的顶级表演。
"
导演:大卫·芬奇DavidFincher   主演:布拉德·皮特BradPitt/凯特·布...
2008 / 美国 / 剧情爱情奇幻


",本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  返老还童,8.7,在时间之河里感受溺水之苦。
"
导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...
1999 / 美国澳大利亚 / 动作科幻


",黑客帝国 / The Matrix / 廿二世纪杀人网络(港)  /  骇客任务(台),8.7,视觉革命。
"
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...
1998 / 美国 / 剧情历史战争


",拯救大兵瑞恩 / Saving Private Ryan / 雷霆救兵(港)  /  抢救雷恩大兵(台),8.8,美利坚精神输出大片No1.
"
导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong/吴达洙Dal-suO...
2013 / 韩国 / 剧情


",辩护人 / 변호인 / 逆权大状(港)  /  正义辩护人(台),9.1,电影的现实意义大过电影本身。
"
导演:李安AngLee   主演:吴倩莲Chien-lienWu/杨贵媚Kuei-MeiYang/...
1994 / 台湾美国 / 剧情家庭


",饮食男女 / 飲食男女 / Eat Drink Man Woman,8.9,人生不能像做菜，把所有的料都准备好了才下锅。
"
导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica...
2000 / 意大利美国 / 剧情战争情色


",西西里的美丽传说 / Malèna / 真爱伴我行(台)  /  玛莲娜,8.6,美丽无罪。
"
导演:M.NightShyamalan   主演:BruceWillis/HaleyJoelOsment/Toni...
1999 / 美国 / 剧情悬疑惊悚


",第六感 / The Sixth Sense / 灵异第六感  /  鬼眼,8.8,深入内心的恐怖，出人意料的结局。
"
导演:TimBurton   主演:EwanMcGregor/AlbertFinney/BillyCrudup
2003 / 美国 / 剧情家庭奇幻冒险


",大鱼 / Big Fish / 大鱼奇缘(港)  /  大智若鱼(台),8.7,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
